date,year,month,toa_net_flux_w_m2,decimal_year,running_12month_avg
2016-04-01,2016,4,1.48,2016.2916666666667,0.8639583333333333
2016-05-01,2016,5,-4.89,2016.375,0.8495833333333334
2016-06-01,2016,6,-7.53,2016.4583333333333,0.8747916666666667
2016-07-01,2016,7,-8.19,2016.5416666666667,0.875
2016-08-01,2016,8,-4.64,2016.625,0.8727083333333333
2016-09-01,2016,9,-0.24,2016.7083333333333,0.8814583333333333
2016-10-01,2016,10,2.04,2016.7916666666667,0.8693750000000001
2016-11-01,2016,11,4.82,2016.875,0.8745833333333334
2016-12-01,2016,12,6.87,2016.9583333333333,0.8706250000000001
2017-01-01,2017,1,9.28,2017.0416666666667,0.9227083333333335
2017-02-01,2017,2,9.71,2017.125,0.9483333333333333
2017-03-01,2017,3,7.25,2017.2083333333333,0.9464583333333335
2017-04-01,2017,4,1.93,2017.2916666666667,0.9595833333333333
2017-05-01,2017,5,-5.21,2017.375,0.9510416666666668
2017-06-01,2017,6,-8.44,2017.4583333333333,0.9752083333333333
2017-07-01,2017,7,-8.1,2017.5416666666667,0.980625
2017-08-01,2017,8,-5.07,2017.625,0.9779166666666668
2017-09-01,2017,9,-1.04,2017.7083333333333,0.9727083333333334
2017-10-01,2017,10,1.36,2017.7916666666667,0.9685416666666667
2017-11-01,2017,11,4.01,2017.875,0.9712500000000001
2017-12-01,2017,12,5.7,2017.9583333333333,0.9608333333333334
2018-01-01,2018,1,8.85,2018.0416666666667,0.9816666666666668
2018-02-01,2018,2,9.16,2018.125,0.9964583333333334
2018-03-01,2018,3,6.71,2018.2083333333333,0.989375
2018-04-01,2018,4,2.99,2018.2916666666667,1.0016666666666667
2018-05-01,2018,5,-4.41,2018.375,0.9993750000000001
2018-06-01,2018,6,-9.55,2018.4583333333333,0.9997916666666669
2018-07-01,2018,7,-8.54,2018.5416666666667,1.0172916666666667
2018-08-01,2018,8,-4.8,2018.625,1.0050000000000001
2018-09-01,2018,9,0.42,2018.7083333333333,1.0175
2018-10-01,2018,10,2.98,2018.7916666666667,1.033125
2018-11-01,2018,11,5.12,2018.875,1.054375
2018-12-01,2018,12,7.47,2018.9583333333333,1.088125
2019-01-01,2019,1,8.66,2019.0416666666667,1.1141666666666667
2019-02-01,2019,2,9.45,2019.125,1.1191666666666669
2019-03-01,2019,3,7.35,2019.2083333333333,1.1243750000000001
2019-04-01,2019,4,2.19,2019.2916666666667,1.1216666666666668
2019-05-01,2019,5,-4.41,2019.375,1.119375
2019-06-01,2019,6,-8.4,2019.4583333333333,1.1297916666666667
2019-07-01,2019,7,-8.17,2019.5416666666667,1.1272916666666666
2019-08-01,2019,8,-4.97,2019.625,1.1114583333333334
2019-09-01,2019,9,0.02,2019.7083333333333,1.1075000000000002
2019-10-01,2019,10,3.49,2019.7916666666667,1.1325
2019-11-01,2019,11,4.75,2019.875,1.1502083333333335
2019-12-01,2019,12,6.25,2019.9583333333333,1.1529166666666668
2020-01-01,2020,1,8.18,2020.0416666666667,1.1566666666666667
2020-02-01,2020,2,8.41,2020.125,1.1795833333333334
2020-03-01,2020,3,7.02,2020.2083333333333,1.1941666666666668
2020-04-01,2020,4,2.4,2020.2916666666667,1.2133333333333334
2020-05-01,2020,5,-4.74,2020.375,1.2164583333333334
2020-06-01,2020,6,-8.88,2020.4583333333333,1.1883333333333335
2020-07-01,2020,7,-8.43,2020.5416666666667,1.1833333333333333
2020-08-01,2020,8,-4.2,2020.625,1.1925000000000001
2020-09-01,2020,9,-0.7,2020.7083333333333,1.1829166666666666
2020-10-01,2020,10,1.43,2020.7916666666667,1.1702083333333333
2020-11-01,2020,11,3.02,2020.875,1.1327083333333334
2020-12-01,2020,12,5.29,2020.9583333333333,1.0997916666666667
2021-01-01,2021,1,8.17,2021.0416666666667,1.0766666666666669
2021-02-01,2021,2,8.89,2021.125,1.0595833333333335
2021-03-01,2021,3,7.69,2021.2083333333333,1.06875
2021-04-01,2021,4,2.96,2021.2916666666667,1.0902083333333334
2021-05-01,2021,5,-4.37,2021.375,1.1077083333333335
2021-06-01,2021,6,-7.29,2021.4583333333333,1.1316666666666668
2021-07-01,2021,7,-8.02,2021.5416666666667,1.1333333333333335
2021-08-01,2021,8,-4.13,2021.625,1.1529166666666668
2021-09-01,2021,9,0.41,2021.7083333333333,1.1831250000000002
2021-10-01,2021,10,2.56,2021.7916666666667,1.2081250000000001
2021-11-01,2021,11,5.0,2021.875,1.22875
2021-12-01,2021,12,6.25,2021.9583333333333,1.2402083333333334
2022-01-01,2022,1,9.25,2022.0416666666667,1.2485416666666669
2022-02-01,2022,2,9.44,2022.125,1.2543750000000002
2022-03-01,2022,3,7.38,2022.2083333333333,1.2683333333333333
2022-04-01,2022,4,1.79,2022.2916666666667,1.2433333333333334
2022-05-01,2022,5,-5.28,2022.375,1.2252083333333335
2022-06-01,2022,6,-7.39,2022.4583333333333,1.2702083333333336
2022-07-01,2022,7,-8.66,2022.5416666666667,1.2677083333333334
2022-08-01,2022,8,-3.86,2022.625,1.2872916666666667
2022-09-01,2022,9,0.24,2022.7083333333333,1.2835416666666668
2022-10-01,2022,10,2.74,2022.7916666666667,1.2785416666666667
2022-11-01,2022,11,4.66,2022.875,1.2689583333333334
2022-12-01,2022,12,7.69,2022.9583333333333,1.2735416666666668
2023-01-01,2023,1,9.56,2023.0416666666667,1.2922916666666666
2023-02-01,2023,2,10.01,2023.125,1.3039583333333333
2023-03-01,2023,3,8.3,2023.2083333333333,1.3237500000000002
2023-04-01,2023,4,3.91,2023.2916666666667,1.3595833333333334
2023-05-01,2023,5,-3.31,2023.375,1.3825000000000003
2023-06-01,2023,6,-7.95,2023.4583333333333,1.391875
2023-07-01,2023,7,-7.99,2023.5416666666667,1.3956250000000001
2023-08-01,2023,8,-4.07,2023.625,1.414375
2023-09-01,2023,9,0.13,2023.7083333333333,1.416666666666667
2023-10-01,2023,10,2.23,2023.7916666666667,1.3904166666666666
2023-11-01,2023,11,4.49,2023.875,1.385
2023-12-01,2023,12,6.77,2023.9583333333333,1.3958333333333333
2024-01-01,2024,1,8.0,2024.0416666666667,1.3920833333333336
2024-02-01,2024,2,8.74,2024.125,1.3989583333333335
2024-03-01,2024,3,6.71,2024.2083333333333,1.3925
2024-04-01,2024,4,2.28,2024.2916666666667,1.39
2024-05-01,2024,5,-5.89,2024.375,1.3660416666666668
2024-06-01,2024,6,-8.87,2024.4583333333333,1.3662500000000002
2024-07-01,2024,7,-8.77,2024.5416666666667,1.3591666666666669
2024-08-01,2024,8,-4.57,2024.625,1.3514583333333334
2024-09-01,2024,9,-0.36,2024.7083333333333,1.3585416666666668
2024-10-01,2024,10,2.45,2024.7916666666667,1.3797916666666667
2024-11-01,2024,11,4.21,2024.875,1.4045833333333337
2024-12-01,2024,12,5.89,2024.9583333333333,1.4170833333333333
2025-01-01,2025,1,9.71,2025.0416666666667,1.4491666666666667
2025-02-01,2025,2,9.0,2025.125,1.4514583333333337
2025-03-01,2025,3,7.36,2025.2083333333333,1.4445833333333333
2025-04-01,2025,4,1.98,2025.2916666666667,1.424166666666667
2025-05-01,2025,5,-5.02,2025.375,1.4106250000000002
2025-06-01,2025,6,-8.93,2025.4583333333333,1.3764583333333336
2025-07-01,2025,7,-7.91,2025.5416666666667,1.3787500000000001
2025-08-01,2025,8,-3.74,2025.625,1.386875
2025-09-01,2025,9,0.36,2025.7083333333333,1.3858333333333333
2025-10-01,2025,10,2.28,2025.7916666666667,1.3800000000000001
2025-11-01,2025,11,4.66,2025.875,1.3729166666666668
2025-12-01,2025,12,8.01,2025.9583333333333,1.4095833333333336
2026-01-01,2026,1,9.78,2026.0416666666667,1.4206250000000002
