date,year41,month,decimal_year,toa_net_flux_w_m2,EEI
2016-08-01,2016,8,2016.625000,-4.640000,1.017292
2016-09-01,2016,9,2016.708333,-0.240000,1.005000
2016-10-01,2016,10,2016.791667,2.040000,1.017500
2016-11-01,2016,11,2016.875000,4.820000,1.033125
2016-12-01,2016,12,2016.958333,6.870000,1.054375
2017-01-01,2017,1,2017.041667,9.280000,1.088125
2017-02-01,2017,2,2017.125000,9.710000,1.114167
2017-03-01,2017,3,2017.208333,7.250000,1.119167
2017-04-01,2017,4,2017.291667,1.930000,1.124375
2017-05-01,2017,5,2017.375000,-5.210000,1.121667
2017-06-01,2017,6,2017.458333,-8.440000,1.119375
2017-07-01,2017,7,2017.541667,-8.100000,1.129792
2017-08-01,2017,8,2017.625000,-5.070000,1.127292
2017-09-01,2017,9,2017.708333,-1.040000,1.111458
2017-10-01,2017,10,2017.791667,1.360000,1.107500
2017-11-01,2017,11,2017.875000,4.010000,1.132500
2017-12-01,2017,12,2017.958333,5.700000,1.150208
2018-01-01,2018,1,2018.041667,8.850000,1.152917
2018-02-01,2018,2,2018.125000,9.160000,1.156667
2018-03-01,2018,3,2018.208333,6.710000,1.179583
2018-04-01,2018,4,2018.291667,2.990000,1.194167
2018-05-01,2018,5,2018.375000,-4.410000,1.213333
2018-06-01,2018,6,2018.458333,-9.550000,1.216458
2018-07-01,2018,7,2018.541667,-8.540000,1.188333
2018-08-01,2018,8,2018.625000,-4.800000,1.183333
2018-09-01,2018,9,2018.708333,0.420000,1.192500
2018-10-01,2018,10,2018.791667,2.980000,1.182917
2018-11-01,2018,11,2018.875000,5.120000,1.170208
2018-12-01,2018,12,2018.958333,7.470000,1.132708
2019-01-01,2019,1,2019.041667,8.660000,1.099792
2019-02-01,2019,2,2019.125000,9.450000,1.076667
2019-03-01,2019,3,2019.208333,7.350000,1.059583
2019-04-01,2019,4,2019.291667,2.190000,1.068750
2019-05-01,2019,5,2019.375000,-4.410000,1.090208
2019-06-01,2019,6,2019.458333,-8.400000,1.107708
2019-07-01,2019,7,2019.541667,-8.170000,1.131667
2019-08-01,2019,8,2019.625000,-4.970000,1.133333
2019-09-01,2019,9,2019.708333,0.020000,1.152917
2019-10-01,2019,10,2019.791667,3.490000,1.183125
2019-11-01,2019,11,2019.875000,4.750000,1.208125
2019-12-01,2019,12,2019.958333,6.250000,1.228750
2020-01-01,2020,1,2020.041667,8.180000,1.240208
2020-02-01,2020,2,2020.125000,8.410000,1.248542
2020-03-01,2020,3,2020.208333,7.020000,1.254375
2020-04-01,2020,4,2020.291667,2.400000,1.268333
2020-05-01,2020,5,2020.375000,-4.740000,1.243333
2020-06-01,2020,6,2020.458333,-8.880000,1.225208
2020-07-01,2020,7,2020.541667,-8.430000,1.270208
2020-08-01,2020,8,2020.625000,-4.200000,1.267708
2020-09-01,2020,9,2020.708333,-0.700000,1.287292
2020-10-01,2020,10,2020.791667,1.430000,1.283542
2020-11-01,2020,11,2020.875000,3.020000,1.278542
2020-12-01,2020,12,2020.958333,5.290000,1.268958
2021-01-01,2021,1,2021.041667,8.170000,1.273542
2021-02-01,2021,2,2021.125000,8.890000,1.292292
2021-03-01,2021,3,2021.208333,7.690000,1.303958
2021-04-01,2021,4,2021.291667,2.960000,1.323750
2021-05-01,2021,5,2021.375000,-4.370000,1.359583
2021-06-01,2021,6,2021.458333,-7.290000,1.382500
2021-07-01,2021,7,2021.541667,-8.020000,1.391875
2021-08-01,2021,8,2021.625000,-4.130000,1.395625
2021-09-01,2021,9,2021.708333,0.410000,1.414375
2021-10-01,2021,10,2021.791667,2.560000,1.416667
2021-11-01,2021,11,2021.875000,5.000000,1.390417
2021-12-01,2021,12,2021.958333,6.250000,1.385000
2022-01-01,2022,1,2022.041667,9.250000,1.395833
2022-02-01,2022,2,2022.125000,9.440000,1.392083
2022-03-01,2022,3,2022.208333,7.380000,1.398958
2022-04-01,2022,4,2022.291667,1.790000,1.392500
2022-05-01,2022,5,2022.375000,-5.280000,1.390000
2022-06-01,2022,6,2022.458333,-7.390000,1.366042
2022-07-01,2022,7,2022.541667,-8.660000,1.366250
2022-08-01,2022,8,2022.625000,-3.860000,1.359167
2022-09-01,2022,9,2022.708333,0.240000,1.351458
2022-10-01,2022,10,2022.791667,2.740000,1.358542
2022-11-01,2022,11,2022.875000,4.660000,1.379792
2022-12-01,2022,12,2022.958333,7.690000,1.404583
2023-01-01,2023,1,2023.041667,9.560000,1.417083
2023-02-01,2023,2,2023.125000,10.010000,1.449167
2023-03-01,2023,3,2023.208333,8.300000,1.451458
2023-04-01,2023,4,2023.291667,3.910000,1.444583
2023-05-01,2023,5,2023.375000,-3.310000,1.424167
2023-06-01,2023,6,2023.458333,-7.950000,1.410625
2023-07-01,2023,7,2023.541667,-7.990000,1.376458
2023-08-01,2023,8,2023.625000,-4.070000,1.378750
2023-09-01,2023,9,2023.708333,0.130000,1.386875
2023-10-01,2023,10,2023.791667,2.230000,1.385833
2023-11-01,2023,11,2023.875000,4.490000,1.380000
2023-12-01,2023,12,2023.958333,6.770000,1.372917
2024-01-01,2024,1,2024.041667,8.000000,1.409583
2024-02-01,2024,2,2024.125000,8.740000,1.420625
2024-03-01,2024,3,2024.208333,6.710000,1.250000
2024-04-01,2024,4,2024.291667,2.280000,1.116739
2024-05-01,2024,5,2024.375000,-5.890000,1.101778
2024-06-01,2024,6,2024.458333,-8.870000,1.246818
2024-07-01,2024,7,2024.541667,-8.770000,1.447674
2024-08-01,2024,8,2024.625000,-4.570000,1.688333
2024-09-01,2024,9,2024.708333,-0.360000,1.823659
2024-10-01,2024,10,2024.791667,2.450000,1.863250
2024-11-01,2024,11,2024.875000,4.210000,1.840769
2024-12-01,2024,12,2024.958333,5.890000,1.766579
2025-01-01,2025,1,2025.041667,9.710000,1.606486
2025-02-01,2025,2,2025.125000,9.000000,1.385556
2025-03-01,2025,3,2025.208333,7.360000,1.139143
2025-04-01,2025,4,2025.291667,1.980000,0.928529
2025-05-01,2025,5,2025.375000,-5.020000,0.838182
2025-06-01,2025,6,2025.458333,-8.930000,0.967813
2025-07-01,2025,7,2025.541667,-7.910000,1.255484
2025-08-01,2025,8,2025.625000,-3.740000,1.563667
2025-09-01,2025,9,2025.708333,0.360000,1.757931
2025-10-01,2025,10,2025.791667,2.280000,1.816071
2025-11-01,2025,11,2025.875000,4.660000,1.800741
2025-12-01,2025,12,2025.958333,8.010000,1.697308
2026-01-01,2026,1,2026.041667,9.780000,1.494400
